address_street	address_locality	address_region	address_code	date_sold	mortgage	info_type	info_bedrooms	info_bathrooms	info_size	info_lot_size	info_year_built	info_est_value	info_sold_price	info_property_id	info_county	info_parcel_number	taxes_land	taxes_improvements	taxes_total	taxes_taxes	school	total_crime	violent_crime	property_crime	foreclosures
1527 Marigold Rd	Livermore	CA	94551	11/06/2019	2089.0	Single Family Residence	2.0	2.0	866.0	6000.0	1963		460000.0	1102354640	Alameda County, CA	099 003702900	28021.0	38985.0	67006.0	1427 (2.12 %)	3	51	33	92	4
26 Highgate Rd	Kensington	CA	94707	07/10/1969	4143.0	Single Family Residence	3.0	1.5	1548.0	9350.0	1948	912000.0		1102195294	Contra Costa County, CA	5722310140	25832.0	44418.0	70250.0	2368 (3.37 %)	3	25	16	47	4
28630 Barn Rock Dr	Hayward	CA	94542	11/06/2019	5360.0	Single Family Residence	4.0	2.5	2962.0	9750.0	1992		1180000.0	1102385631	Alameda County, CA	425 049001800	384564.0	325599.0	710163.0	9439 (1.32 %)	3	123	84	213	4
2875 Wilson Cmn	Fremont	CA	94538	12/09/1983	3647.0	Townhouse	3.0	2.5	1748.0	1732.0	1980	803000.0		1102336331	Alameda County, CA	525 078510600	46132.0	200474.0	246606.0	3335 (1.35 %)	3	59	40	103	4
6452 Aspenwood Way	Livermore	CA	94551	11/06/2019	3820.0	Single Family Residence	4.0	2.5	1882.0	5600.0	1997		841000.0	1102340268	Alameda County, CA	099B535303900	161822.0	377585.0	539407.0	7247 (1.34 %)	3	51	33	92	4
233 Purdue Ave	Kensington	CA	94708	11/08/2019	3906.0	Single Family Residence	2.0	1.0	1186.0	4000.0	1939		860000.0	1102006365	Contra Costa County, CA	5701910076	46675.0	57845.0	104520.0	2624 (2.51 %)	3	25	16	47	4
1648 Ramblewood Way	Pleasanton	CA	94566	02/04/1965	4701.0	Single Family Residence	3.0	2.0	1675.0	10277.0	1964	1035000.0		1102340317	Alameda County, CA	946 337801200	28306.0	63431.0	91737.0	1067 (1.16 %)	0	33	19	65	0
Purdue Ave	Kensington	CA	94708	11/08/2019	3906.0	MISCELLANEOUS				2000.0			860000.0	1102001185	Contra Costa County, CA	5701910084	2008.0	0.0	2008.0	116 (5.80 %)	0	25	16	47	2
1651 4th St	Livermore	CA	94550	11/06/2019	3225.0	Single Family Residence	2.0	1.0	1046.0	5000.0	1951		710000.0	1102351203	Alameda County, CA	097 004100504	131287.0	248003.0	379290.0	5297 (1.39 %)	3	51	33	92	4
190 Stanford Ave	Kensington	CA	94708	11/18/2019	5215.0	Single Family Residence	2.0	1.0	1296.0	3480.0	1984		1148000.0	1102148820	Contra Costa County, CA	5700120024	234313.0	180953.0	415266.0	6548 (1.57 %)	3	25	16	47	4
33113 Pinto Ct	Union City	CA	94587	11/06/2019	3822.0	Single Family Residence	5.0	3.0	1841.0	7336.0	1957		841500.0	1102340055	Alameda County, CA	087 009100600	26193.0	66236.0	92429.0	2395 (2.59 %)	3	67	46	116	4
2014 Myrtle St	Oakland	CA	94607	11/06/2019	902.0	Duplex (2 units, any combination)	5.0	2.0	2286.0	3125.0	1893		198500.0	1102347865	Alameda County, CA	005 041002800	97958.0	228569.0	326527.0	5630 (1.72 %)	3	308	307	310	4
240 Colgate Ave	Kensington	CA	94708	11/25/2019	6178.0	Single Family Residence	4.0	2.0	1478.0	5000.0	1938		1360000.0	1102358090	Contra Costa County, CA	5701800079	32498.0	27856.0	60354.0	2173 (3.60 %)	3	25	16	47	4
86 Norwood Ave	Kensington	CA	94707	11/07/2019	8290.0	Single Family Residence	4.0	3.0	3035.0	18720.0	1954		1825000.0	1101801865	Contra Costa County, CA	5721810298	55779.0	126619.0	182398.0	4089 (2.24 %)	3	25	16	47	4
282 Lake Dr	Kensington	CA	94708	11/08/2019	6019.0	Single Family Residence	3.0	2.5	1959.0	5500.0	1938		1325000.0	1101847733	Contra Costa County, CA	5702210112	732219.0	201273.0	933492.0	13297 (1.42 %)	3	25	16	47	4
2534 Buena Vista Ave	Alameda	CA	94501	11/06/2019	5814.0	Single Family Residence	4.0	2.0	1737.0	3600.0	1915		1280000.0	1102341660	Alameda County, CA	070 016801100	354800.0	532200.0	887000.0	11022 (1.24 %)	3	66	37	135	4
19 Randwick Ave	Oakland	CA	94611	07/23/1970		Gas Station				5200.0			N/A	1102344457	Alameda County, CA	009 070300200	36970.0	24505.0	61475.0	2033 (3.30 %)	0	308	307	310	0
5663 Carberry Ave	Oakland	CA	94609	11/06/2019	4579.0	Single Family Residence	2.0	1.0	1201.0	3800.0	1931		1008000.0	1102337160	Alameda County, CA	015 127707900	43493.0	33759.0	77252.0	1840 (2.38 %)	3	308	307	310	4
1639 10th St	Berkeley	CA	94710	03/18/2019	5837.0	Single Family Residence	3.0	2.0	1087.0	5031.0	1924		1285000.0	1102351279	Alameda County, CA	058 212802000	204545.0	477272.0	681817.0	9761 (1.43 %)	0	125	94	197	0
27806 Dobbel Ave	Hayward	CA	94542	11/06/2019	3934.0	Single Family Residence	4.0	2.5	2442.0	10841.0	1989		866000.0	1102361351	Alameda County, CA	081D208602604	130752.0	304999.0	435751.0	5883 (1.35 %)	3	123	84	213	4
260 Amherst Ave	Kensington	CA	94708	03/27/1978	382.0	Single Family Residence	4.0	2.0	2120.0	4635.0	1928		84000.0	1101920107	Contra Costa County, CA	5700600074	99125.0	73314.0	172439.0	3635 (2.10 %)	3	25	16	47	4
1201 Pine St Unit 462	Oakland	CA	94607	11/06/2019	2339.0	Condominium	1.0	1.0	845.0				515000.0	1102357065	Alameda County, CA	006 005714200	111839.0	260958.0	372797.0	6103 (1.63 %)	3	308	307	310	4
15033 Kesterson St	San Leandro	CA	94579	11/06/2019	3043.0	Single Family Residence	3.0	1.0	1513.0	5520.0	1948		670000.0	1102347853	Alameda County, CA	080H151100500	34046.0	34261.0	68307.0	1212 (1.77 %)	3	123	79	226	4
261 Colgate Ave	Kensington	CA	94708	11/20/2019	4588.0	Single Family Residence	2.0	1.0	1135.0	4000.0	1939		1010000.0	1102249606	Contra Costa County, CA	5701920240	31413.0	30174.0	61587.0	2164 (3.51 %)	3	25	16	47	4
996 Apgar St	Oakland	CA	94608	11/06/2019	4111.0	Quadruplex (4 units, any combination)	4.0	4.0	4340.0	4880.0	1912		905000.0	1102340296	Alameda County, CA	012 095200700	38660.0	36336.0	74996.0	2877 (3.83 %)	3	308	307	310	4
2927 Monticello Ave	Oakland	CA	94619	02/29/1988	386.0	Single Family Residence	4.0	2.0	2246.0	4200.0	1924		85000.0	1102379946	Alameda County, CA	036 244200200	71741.0	150598.0	222339.0	4028 (1.81 %)	3	308	307	310	4
652 Selby Ln Unit 1	Livermore	CA	94551	11/06/2019	908.0	Condominium	3.0	3.0	1949.0		2012		200000.0	1102345635	Alameda County, CA	903 001324000	131567.0	306955.0	438522.0	5938 (1.35 %)	0	51	33	92	0
35122 Lido Blvd Unit J	Newark	CA	94560	11/06/2019	2498.0	Condominium	2.0	2.0	1060.0		1984		550000.0	1102356874	Alameda County, CA	092A259210700	138000.0	322000.0	460000.0	5828 (1.26 %)	3	86	56	155	4
3064 Randall Way	Hayward	CA	94541	11/06/2019	3248.0	Single Family Residence	3.0	2.0	1610.0	7440.0	1945		715000.0	1102346439	Alameda County, CA	426 002005100	132424.0	308990.0	441414.0	5845 (1.32 %)	3	123	84	213	4
Warm Springs Blvd	Fremont	CA	94538	11/06/2019	6541.0	Residential - Vacant Land							1440000.0	1102339011	Alameda County, CA	519 175900100					0	59	40	103	4
5868 Ocean View Dr	Oakland	CA	94618	11/06/2019	7222.0	Single Family Residence	3.0	1.5	2030.0	5250.0	1912		1590000.0	1102342028	Alameda County, CA	048A705300900	523260.0	1220940.0	1744200.0	24641 (1.41 %)	3	308	307	310	4
4845 Delores Dr	Union City	CA	94587	05/14/1981	3952.0	Single Family Residence			1880.0	6269.0	1977	870000.0		1102380288	Alameda County, CA	483 011202200	52414.0	149887.0	202301.0	3769 (1.86 %)	3	67	46	116	4
6060 Nesta Ct	Dublin	CA	94568	11/06/2019	4442.0	Residential - Vacant Land				2100.0			978000.0	1102344175	Alameda County, CA	986 005806100					0	33	18	70	0
945 E 24th St	Oakland	CA	94606	11/06/2019	2248.0	Single Family Residence	3.0	1.0	1213.0	2500.0	1922		495000.0	1102344418	Alameda County, CA	022 031800100	84227.0	24574.0	108801.0	2062 (1.89 %)	3	308	307	310	4
170 Orchard Ave	Hayward	CA	94544	11/06/2019	2462.0	Single Family Residence	7.0	4.0	3447.0	0.55	1943		542000.0	1102361533	Alameda County, CA	444 001501500	270220.0	630514.0	900734.0	11301 (1.25 %)	3	123	84	213	4
3451 Pierson St	Oakland	CA	94619	07/21/2004	1953.0	Single Family Residence	4.0	3.0	2041.0	6510.0	1922		430000.0	1102374958	Alameda County, CA	036 250203000	154926.0	476494.0	631420.0	9695 (1.53 %)	0	308	307	310	0
24613 Thomas Ave	Hayward	CA	94544	11/06/2019	2725.0	Single Family Residence	3.0	2.0	1092.0	5000.0	1990		600000.0	1102342275	Alameda County, CA	444 002104100	74675.0	174242.0	248917.0	3205 (1.28 %)	3	123	84	213	4
2762 Vine Dr	Livermore	CA	94550	11/06/2019	5882.0	Single Family Residence	4.0	2.5	3318.0	10032.0	2004		1295000.0	1102338740	Alameda County, CA	099 080204400	278601.0	650069.0	928670.0	11857 (1.27 %)	3	51	33	92	4
31953 Trevor Ave	Hayward	CA	94544	11/06/2019	1008.0	Single Family Residence	3.0	2.0	1078.0	6006.0	1955		222000.0	1102348293	Alameda County, CA	078G293400100	130389.0	304241.0	434630.0	6251 (1.43 %)	0	123	84	213	0
1 Kelton Ct Apt 10G	Oakland	CA	94611	11/06/2019	3856.0	Condominium	2.0	1.5	1375.0	1.14	1974		849000.0	1102344654	Alameda County, CA	012 098729900	80840.0	194017.0	274857.0	4693 (1.70 %)	3	308	307	310	4
13170 Neptune Dr # 2	San Leandro	CA	94577	11/06/2019	3089.0	Single Family Residence	3.0	2.5	1714.0	1631.0	1997		680000.0	1102354866	Alameda County, CA	079A056504900	78000.0	184122.0	262122.0	3818 (1.45 %)	0	123	79	226	0
1663 11th St	Oakland	CA	94607	11/06/2019	4997.0	Single Family Residence	5.0	3.0	2380.0	5050.0	1918		1100000.0	1102346938	Alameda County, CA	006 001303400	228649.0	533515.0	762164.0	11458 (1.50 %)	3	308	307	310	4
2419 Monticello Ave	Oakland	CA	94601	06/16/2008	704.0	Single Family Residence	2.0	1.0	816.0	6750.0	1906		155000.0	1102343964	Alameda County, CA	036 242701100	52625.0	122793.0	175418.0	3451 (1.96 %)	3	308	307	310	4
22175 Victory Dr	Hayward	CA	94541	11/06/2019	3018.0	Single Family Residence	3.0	1.0	1083.0	10441.0	1943		664500.0	1102335739	Alameda County, CA	432 002802000	108502.0	68129.0	176631.0	2595 (1.46 %)	0	123	84	213	0
27066 Columbia Ct	Hayward	CA	94542	01/24/1992	1408.0	Single Family Residence	3.0	2.5	2253.0	7221.0	1979		310000.0	1102345701	Alameda County, CA	081D208508100	141697.0	330627.0	472324.0	5825 (1.23 %)	3	123	84	213	4
17490 Langton Way	Hayward	CA	94541	11/06/2019	454.0	Single Family Residence	2.0	1.0	840.0	6321.0	1942		100000.0	1102347779	Alameda County, CA	414 002101700	57295.0	133689.0	190984.0	2779 (1.45 %)	3	123	84	213	4
