address_street	address_locality	address_region	address_code	date_sold	mortgage	info_type	info_bedrooms	info_bathrooms	info_size	info_lot_size	info_year_built	info_sold_price	info_property_id	info_county	info_parcel_number	taxes_land	taxes_improvements	taxes_total	taxes_taxes	school	total_crime	violent_crime	property_crime	foreclosures	year_sold
4 Silver Crk # 30	Irvine	CA	92603	11/22/2019	3543.0	Condominium	3.0	2.0	1576.0		1977.0	780000.0	1102337060	Orange County, CA	93496030	211708.0	157197.0	368905.0	3947 (1.07 %)	3	30.0	22.0	48.0	4	2019
28459 Alava	Mission Viejo	CA	92692	11/22/2019	2430.0	Single Family Residence	2.0	2.0	1503.0	3478.0	1985.0	535000.0	1102351069	Orange County, CA	78623129	281600.0	148356.0	429956.0	4367 (1.01 %)	3	29.0	25.0	39.0	4	2019
19441 Hansen Ln	Huntington Beach	CA	92646	11/22/2019	6268.0	Single Family Residence	4.0	3.0	2926.0	3828.0		1380000.0	1102336622	Orange County, CA	15512543	459321.0	558604.0	1017925.0	11464 (1.12 %)	3	57.0	47.0	82.0	4	2019
23308 Copante # 103	Mission Viejo	CA	92692	11/22/2019	2158.0	Condominium	2.0	2.0	1308.0		1980.0	475000.0	1102354775	Orange County, CA	93785045	326318.0	146682.0	473000.0	4798 (1.01 %)	3	29.0	25.0	39.0	4	2019
1301 Burwood St	La Habra	CA	90631	11/22/2019	3816.0	Multi-Family Dwellings			3756.0	7200.0	1964.0	840000.0	1102343308	Orange County, CA	29247108	233089.0	155289.0	388378.0	5210 (1.34 %)	3	55.0	39.0	94.0	4	2019
10281 Overhill Dr	Santa Ana	CA	92705	11/22/2019	7268.0	Single Family Residence	5.0	3.0	2814.0	1.0	1965.0	1600000.0	1102353937	Orange County, CA	50314226	525268.0	197448.0	722716.0	8123 (1.12 %)	3	128.0	128.0	128.0	4	2019
52 Wild Horse	Irvine	CA	92602	11/22/2019	5669.0	Single Family Residence	4.0	3.0	2393.0	3967.0		1248000.0	1102338857	Orange County, CA	52719141	360108.0	444529.0	804637.0	12770 (1.58 %)	3	30.0	22.0	48.0	4	2019
8597 Valley View St	Buena Park	CA	90620	11/22/2019	2839.0	Single Family Residence	3.0	2.0	1250.0	6500.0	1955.0	625000.0	1102360374	Orange County, CA	26251319	437818.0	62005.0	499823.0	5871 (1.17 %)	3	71.0	40.0	145.0	4	2019
13887 La Jolla Plz	Garden Grove	CA	92844	11/22/2019	2226.0	Single Family Residence	3.0	3.0	1637.0	1648.0	1972.0	490000.0	1102347550	Orange County, CA	9861120	332109.0	115034.0	447143.0	5673 (1.26 %)	3	76.0	57.0	122.0	4	2019
163 Jaripol Cir	Rancho Mission Viejo	CA	92694	11/22/2019	1881.0	Condominium	1.0	2.0	921.0			414000.0	1102352210	Orange County, CA	93057824					0				0	2019
6 Santa Nella	Rancho Santa Margarita	CA	92688	11/22/2019	4134.0	Single Family Residence	6.0	4.0	3223.0	4424.0	2000.0	910000.0	1102352173	Orange County, CA	80554141	234469.0	408211.0	642680.0	6963 (1.08 %)	3	13.0	9.0	23.0	4	2019
18107 Yosemite Ct	Fountain Valley	CA	92708	11/22/2019	2612.0	Single Family Residence	3.0	3.0	1656.0	1894.0	1970.0	575000.0	1102348813	Orange County, CA	15620227	97572.0	121186.0	218758.0	2649 (1.21 %)	3	41.0	11.0	110.0	4	2019
205 David Dr	Newport Beach	CA	92663	11/22/2019	6586.0	Multi-Family Dwellings			2220.0	3135.0	1975.0	1450000.0	1102340032	Orange County, CA	4501015	1462344.0	159064.0	1621408.0	17533 (1.08 %)	3	49.0	31.0	90.0	4	2019
153 Sandcastle	Aliso Viejo	CA	92656	11/22/2019	2149.0	Condominium	2.0	2.0	1142.0		1989.0	473000.0	1102342166	Orange County, CA	93080475	287292.0	119688.0	406980.0	4029 (0.98 %)	3	16.0	10.0	29.0	4	2019
2038 W Cherry Ave	Fullerton	CA	92833	11/22/2019	2385.0	Single Family Residence	3.0	2.0	1069.0	6120.0	1954.0	525000.0	1102342539	Orange County, CA	7121510	109821.0	59936.0	169757.0	2116 (1.24 %)	3	65.0	49.0	100.0	4	2019
13291 Arizona St	Westminster	CA	92683	11/22/2019	2303.0	Single Family Residence	3.0	1.0	1090.0	7246.0	1956.0	507000.0	1102337958	Orange County, CA	9639312	21647.0	27359.0	49006.0	1092 (2.22 %)	3	97.0	79.0	140.0	4	2019
6500 E Via Fresco	Anaheim	CA	92807	11/22/2019	2725.0	Single Family Residence	2.0	2.0	1536.0	3162.0	1973.0	600000.0	1102347279	Orange County, CA	36501514	73882.0	93300.0	167182.0	2049 (1.22 %)	3	88.0	71.0	127.0	4	2019
5107 Avocado Cir	Yorba Linda	CA	92886	11/22/2019	1703.0	Condominium	2.0	2.0	912.0		1981.0	375000.0	1102346811	Orange County, CA	93937051	57195.0	85690.0	142885.0	1886 (1.32 %)	3	22.0	12.0	44.0	4	2019
13931 La Pat Pl	Westminster	CA	92683	11/22/2019	2280.0	Single Family Residence	2.0	1.0	852.0	5432.0	1957.0	502000.0	1102348708	Orange County, CA	20355224	290208.0	38782.0	328990.0	4250 (1.29 %)	3	97.0	79.0	140.0	4	2019
30641 Silverado Canyon Rd	Silverado	CA	92676	11/21/2019	3464.0	Single Family Residence	3.0	3.0	2080.0	14690.0	1975.0	762500.0	1102305363	Orange County, CA	10518044	556014.0	240699.0	796713.0	8457 (1.06 %)	3	29.0	23.0	42.0	4	2019
6472 Fairlynn Blvd	Yorba Linda	CA	92886	11/21/2019	4429.0	Single Family Residence	5.0	4.0	4544.0	8645.0	1994.0	975000.0	1102339280	Orange County, CA	34903258	133737.0	578642.0	712379.0	8093 (1.13 %)	3	22.0	12.0	44.0	4	2019
2827 Player Ln	Tustin	CA	92782	11/21/2019	2857.0	Condominium	3.0	3.0	1848.0		1999.0	629000.0	1102339830	Orange County, CA	93408756	200309.0	241948.0	442257.0	4971 (1.12 %)	3	66.0	54.0	94.0	4	2019
826 Farmer Ln	Placentia	CA	92870	11/21/2019	3293.0	Single Family Residence	4.0	3.0	1839.0	4400.0	1987.0	725000.0	1102287017	Orange County, CA	34052163	367671.0	172376.0	540047.0	6535 (1.21 %)	3	44.0	29.0	79.0	4	2019
6233 E Quartz Ln	Anaheim	CA	92807	11/21/2019	2998.0	Single Family Residence	3.0	3.0	1652.0	3500.0	1985.0	660000.0	1102288803	Orange County, CA	8566278	203311.0	122959.0	326270.0	3399 (1.04 %)	3	88.0	71.0	127.0	4	2019
1031 Chantilly Cir	Santa Ana	CA	92705	11/21/2019	5519.0	Single Family Residence	3.0	3.0	3156.0	18370.0	1985.0	1215000.0	1102290714	Orange County, CA	50356116	384278.0	294791.0	679069.0	7849 (1.15 %)	3	128.0	128.0	128.0	4	2019
10 Chandon # 44	Newport Coast	CA	92657	11/21/2019	6191.0	Condominium	2.0	3.0	2226.0		1995.0	1363000.0	1102337059	Orange County, CA	93646510	1018224.0	301552.0	1319776.0	14553 (1.10 %)	3				4	2019
139 Cardinal	Irvine	CA	92618	11/21/2019	6850.0	Single Family Residence	4.0	5.0	2689.0	6400.0		1508000.0	1102340285	Orange County, CA	58043214	654347.0	582560.0	1236907.0	19507 (1.57 %)	3	30.0	22.0	48.0	4	2019
3104 Taft Way	Costa Mesa	CA	92626	11/21/2019	4088.0	Single Family Residence	3.0	3.0	2264.0	7192.0	1964.0	900000.0	1102283658	Orange County, CA	14169314	670529.0	120175.0	790704.0	8898 (1.12 %)	3	94.0	65.0	162.0	4	2019
15305 Saverne Cir	Irvine	CA	92604	11/22/2019	4361.0	Single Family Residence	4.0	3.0	1950.0	6240.0	1972.0	960000.0	1102360864	Orange County, CA	45108170	32318.0	78494.0	110812.0	1260 (1.13 %)	3	30.0	22.0	48.0	4	2019
8152 Brush Dr	Huntington Beach	CA	92647	11/21/2019	3361.0	Single Family Residence	3.0	2.0	1117.0	6249.0	1959.0	740000.0	1102306310	Orange County, CA	10740121	502084.0	65144.0	567228.0	6576 (1.15 %)	3	57.0	47.0	82.0	4	2019
1842 Bent Twig Ln	Tustin	CA	92780	11/21/2019	3250.0	Single Family Residence	3.0	2.0	1291.0	8625.0	1956.0	715500.0	1102301094	Orange County, CA	10336101	223972.0	83354.0	307326.0	3752 (1.22 %)	3	66.0	54.0	94.0	4	2019
2 Firwood	Aliso Viejo	CA	92656	11/22/2019	2614.0	Condominium	3.0	3.0	1306.0		1989.0	575500.0	1102361237	Orange County, CA	93076580	333324.0	124995.0	458319.0	4544 (0.99 %)	3	16.0	10.0	29.0	4	2019
44 Via Cartama	San Clemente	CA	92673	11/21/2019	5428.0	Single Family Residence	4.0	4.0	3547.0	5500.0	2005.0	1195000.0	1102301550	Orange County, CA	70803530	592548.0	570452.0	1163000.0	16493 (1.41 %)	3	28.0	18.0	52.0	4	2019
2546 Aquasanta	Tustin	CA	92782	11/21/2019	3434.0	Condominium	2.0	3.0	1750.0		1993.0	756000.0	1102300595	Orange County, CA	93408511	381730.0	252029.0	633759.0	7423 (1.17 %)	3	66.0	54.0	94.0	4	2019
75 Koehler Xing	Buena Park	CA	90621	11/21/2019	2498.0	Condominium	2.0	3.0	1626.0		2006.0	550000.0	1102341251	Orange County, CA	93828231	160729.0	226045.0	386774.0	4570 (1.18 %)	3	71.0	40.0	145.0	4	2019
21712 San Leandro	Mission Viejo	CA	92692	11/21/2019	2294.0	Condominium	2.0	2.0	1278.0		1995.0	505000.0	1102337418	Orange County, CA	93375393	151294.0	127406.0	278700.0	2806 (1.00 %)	3	29.0	25.0	39.0	4	2019
512 Calle Baranda	San Clemente	CA	92673	11/21/2019	4765.0	Single Family Residence	4.0	3.0	2987.0	9240.0	1978.0	1049000.0	1102338814	Orange County, CA	68019135	693240.0	246760.0	940000.0	9527 (1.01 %)	3	28.0	18.0	52.0	4	2019
31 Platal St	Rancho Mission Viejo	CA	92694	11/22/2019	4694.0	Single Family Residence	2.0	3.0	2121.0	5200.0		1033500.0	1102360356	Orange County, CA	75549102	332349.0	374552.0	706901.0	13483 (1.90 %)	0				0	2019
3242 Brimhall Dr	Los Alamitos	CA	90720	11/21/2019	4656.0	Single Family Residence	4.0	2.0	1982.0	7681.0	1958.0	1025000.0	1102337046	Orange County, CA	8618310	32325.0	64232.0	96557.0	1431 (1.48 %)	3	56.0	40.0	95.0	4	2019
24479 Mozer Dr # 108	Laguna Niguel	CA	92677	11/22/2019	1819.0	Condominium	2.0	2.0	862.0		1988.0	400500.0	1102356295	Orange County, CA	93871425	275824.0	86276.0	362100.0	3606 (0.99 %)	3	29.0	26.0	35.0	4	2019
154 Burgess	Irvine	CA	92618	11/21/2019	3043.0	Single Family Residence						670000.0	1102288435	Orange County, CA	58089111					0	30.0	22.0	48.0	0	2019
8933 Biscayne Ct # 163	Huntington Beach	CA	92646	11/21/2019	1826.0	Condominium	1.0	1.0	810.0		1974.0	402000.0	1102352004	Orange County, CA	93352163	98310.0	84489.0	182799.0	2381 (1.30 %)	3	57.0	47.0	82.0	4	2019
1316 N Gilbert St	Anaheim	CA	92801	11/21/2019	2453.0	Single Family Residence	3.0	2.0	1345.0	6479.0	1955.0	540000.0	1102345795	Orange County, CA	7133102	234571.0	64043.0	298614.0	3711 (1.24 %)	3	88.0	71.0	127.0	4	2019
10903 Cielo Ct	Cypress	CA	90720	11/21/2019	3116.0	MISCELLANEOUS						686000.0	1102383043	Orange County, CA	24123211					0	31.0	15.0	68.0	0	2019
440 S Mohler Dr	Anaheim	CA	92808	11/21/2019	4088.0	Single Family Residence	2.0	2.0	2104.0	0.51	1960.0	900000.0	1102351474	Orange County, CA	35615111	316367.0	174517.0	490884.0	5142 (1.04 %)	3	88.0	71.0	127.0	4	2019
141 Bowery	Irvine	CA	92612	11/21/2019	4088.0	Condominium						900000.0	1102357132	Orange County, CA	93024069					0	30.0	22.0	48.0	0	2019
119 Via Koron	Newport Beach	CA	92663	11/21/2019	17034.0	Single Family Residence	5.0	5.0	4634.0	4400.0	1983.0	3750000.0	1102360935	Orange County, CA	42320205	3244446.0	849559.0	4094005.0	43377 (1.05 %)	3	49.0	31.0	90.0	4	2019
19581 Pompano Ln Unit 107	Huntington Beach	CA	92648	11/21/2019	3361.0	Condominium	2.0	3.0	2009.0		1987.0	740000.0	1102345866	Orange County, CA	93716358	150531.0	211827.0	362358.0	4375 (1.20 %)	3	57.0	47.0	82.0	4	2019
4 Santa Sophia	Rancho Santa Margarita	CA	92688	11/21/2019	3859.0	Single Family Residence	4.0	3.0	2587.0	4205.0	1999.0	849500.0	1102386725	Orange County, CA	80553123	494895.0	305805.0	800700.0	9247 (1.15 %)	3	13.0	9.0	23.0	4	2019
711 Pacific Coast Hwy Unit 413	Huntington Beach	CA	92648	11/21/2019	4315.0	Condominium	2.0	2.0	968.0		1967.0	950000.0	1102361318	Orange County, CA	93950485	668199.0	70130.0	738329.0	8552 (1.15 %)	3	57.0	47.0	82.0	4	2019
16 Bunker Hl	Irvine	CA	92620	11/21/2019	4038.0	Single Family Residence	4.0	2.0	1975.0	5777.0	1978.0	889000.0	1102359503	Orange County, CA	52906108	646071.0	154800.0	800871.0	8374 (1.04 %)	3	30.0	22.0	48.0	4	2019
215 4th St	Seal Beach	CA	90740	11/21/2019	4088.0	Single Family Residence	3.0	1.0	1072.0	3525.0	1950.0	900000.0	1102290407	Orange County, CA	19902107	42030.0	23149.0	65179.0	1269 (1.94 %)	3	42.0	18.0	97.0	4	2019
17 Tomillo Ln	Rancho Mission Viejo	CA	92694	11/21/2019	3709.0	Single Family Residence						816500.0	1102349207	Orange County, CA	12529233	138219.0	0.0	138219.0	5923 (4.28 %)	0				0	2019
2240 Nolita	Irvine	CA	92612	11/21/2019	2033.0	Condominium						447500.0	1102357598	Orange County, CA	93023808					0	30.0	22.0	48.0	0	2019
67 Alicante Aisle # 70	Irvine	CA	92614	11/21/2019	908.0	Condominium	2.0	3.0	1104.0		1987.0	200000.0	1102282522	Orange County, CA	93781081	408855.0	122145.0	531000.0	6244 (1.17 %)	3	30.0	22.0	48.0	4	2019
4730 Via De La Mula	Yorba Linda	CA	92886	11/21/2019	3134.0	Single Family Residence	3.0	2.0	1356.0	5664.0	1985.0	690000.0	1102354245	Orange County, CA	35018366	386413.0	143459.0	529872.0	6406 (1.20 %)	3	22.0	12.0	44.0	4	2019
