area	district	address	floors	bedrooms	toilets	front	entrance	houseAspect	balconyAspect	price
100.0	Bình Chánh	Đường Đinh Đức Thiện, Xã Bình Chánh	2	4	2	30.0	8.0	Tây-Bắc	Tây-Bắc	1200.0
128.0	Quận 2	Đường 12, Phường Bình An								12800.0
60.0	Hóc Môn	Đường Liên Xã, Xã Tân Hiệp				5.0	8.0			1050.0
67.5	Tân Bình	Đường Thăng Long, Phường 4	3							10500.0
88.0	Quận 5	Đường Trần Hưng Đạo								23000.0
123.7	Bình Tân	11/2A, Đường Liên Khu 5-6, Phường Bình Hưng Hòa B								5500.0
79.9	Phú Nhuận	Phường 8	4				10.0			11500.0
26.0	Phú Nhuận	116/7B, Đường Nguyễn Công Hoan, Phường 7	4			5.85	2.0			4000.0
60.0	Hóc Môn	Đường Tân Thới 2, Xã Tân Hiệp	2	3	2	5.0	6.0			1100.0
122.0	Củ Chi	Đường Hương lộ 2, Xã Tân Phú Trung				14.0	14.0			860.0
52.0	Quận 12	Đường Nguyễn Thị Búp, Phường Hiệp Thành	3	4	3	4.0	6.0			3100.0
37.0	Phú Nhuận	Đường Nguyễn Công Hoan, Phường 7	2	3	2	4.0	5.0			3500.0
78.0	Phú Nhuận	Đường Phổ Quang, Phường 9								13500.0
20.8	Gò Vấp	Hẻm 87/, Đường Số 27, Phường 6	2	2	2		2.0			2050.0
120.0	Hóc Môn	Đường Đặng Thúc Vịnh, Xã Thới Tam Thôn				6.0	10.0	Đông-Nam	Đông-Nam	1450.0
38.4	Tân Bình	Đường Trần Văn Dư, Phường 13	1	2	2	4.0	5.0			1500.0
120.0	Tân Bình	Đường Yên Thế, Phường 2				6.0	8.0			16700.0
72.0	Quận 1	Đường Cô Bắc, Phường Cô Giang								17800.0
40.0	Hóc Môn	Hẻm 1, Đường Nguyễn Ảnh Thủ	2	2	2					1800.0
120.0	Phú Nhuận	Đường Nguyễn Trọng Tuyển, Phường 8								19800.0
196.0	Tân Bình	Đường Trường Sơn, Phường 2								17500.0
140.0	Quận 2	Phố Lương Định Của, Phường Bình An								17500.0
316.0	Quận 3						10.0			57000.0
	Bình Tân	Đường Số 9, Phường Bình Hưng Hòa	4	3	3	5.0	5.0	Đông-Bắc		1970.0
	Quận 6	Đường Tân Hòa Đông								1190.0
65.0	Hóc Môn	Phố Lý Thường Kiệt, Thị trấn Hóc Môn	1	3	4	5.0	7.0			1300.0
65.0	Hóc Môn	Phố Lý Thường Kiệt				5.0	8.0			1350.0
65.0	Hóc Môn	Phố Lý Thường Kiệt, Thị trấn Hóc Môn	1	3	1	5.0	5.0			1350.0
42.5	Quận 12	Đường Lê Thị Nho, Phường Trung Mỹ Tây	2	2	2	5.0	5.0			1520.0
12.0	Tân Phú	Đường Phú Thọ Hòa, Phường Phú Thọ Hòa	2	1	1	3.3	4.0			1570.0
44.0	Quận 12	Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận	2	2	2	4.0	3.5			1620.0
220.0	Bình Thạnh	20/11, Đường Đinh Bộ Lĩnh, Phường 26	3	8	9	10.0	12.0			19900.0
378.0	Bình Thạnh	21/1, Đường Nguyễn Bỉnh Khiêm, Phường 1								24000.0
56.0	Tân Phú	23/36/113, Đường Nguyễn Hữu Tiến, Phường Tây Thạnh		2	2	4.0	4.0	Bắc	Bắc	3900.0
100.0	Tân Bình	Hẻm XH 25/35/3, Đường Cửu Long, Phường 2	4	7	6	5.0	7.0			14500.0
72.0	Quận 12	28/2A Đường Thạnh Lộc 22, Phường Thạnh Lộc	3	3	4		7.0	Đông-Bắc		4150.0
124.0	Bình Chánh	Đường Ấp 1, Xã Vĩnh Lộc A	2	4	4	8.0	6.0	Đông	Đông	5500.0
70.0	Thủ Đức	Đường Quốc Lộ 13, Phường Hiệp Bình Phước	3	4	4		8.0			4600.0
120.0	Củ Chi	Đường Hà Duy Phiên, Xã Bình Mỹ				16.0	16.0			710.0
80.0	Tân Phú	Đường T6, Phường Tây Thạnh	3	4	4	4.0	6.0			5700.0
130.0	Bình Thạnh	Đường Phan Văn Trị	5	5		55.0	7.0			9850.0
	Tân Phú	Đường Tân Thành, Phường Tân Thành								5500.0
150.0	Tân Bình	Đường Bạch Đằng, Phường 2				7.5	8.0			22000.0
187.5	Tân Bình	Đường Bạch Đằng, Phường 2				7.5	8.0			22000.0
52.6	Quận 6	962/, Đường An Dương Vương, Phường 13				4.5				4200.0
88.0	Gò Vấp	Đường số 2	2	5	4	4.0	10.0	Tây-Bắc	Tây-Bắc	8600.0
56.0	Tân Bình	Đường Nguyễn Hồng Đào, Phường 14	2	2	2	4.0	5.0			6900.0
55.0	Phú Nhuận	Đường Lê Văn Sỹ								6300.0
43.0	Tân Bình	Phố Lý Thường Kiệt, Phường 9	3							8200.0
400.0	Quận 3	Phố Hai Bà Trưng, Phường 6								147000.0
40.0	Phú Nhuận	Phố Phan Đăng Lưu, Phường 5	3	4	5					4700.0
40.0	Phú Nhuận	Phố Phan Đăng Lưu, Phường 5	3	4	5					4700.0
76.0	Thủ Đức	Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh	4	4		5.0	6.0			5000.0
72.0	Thủ Đức	Đường Số 2, Phường Hiệp Bình Phước	4	4		4.0	5.0			3900.0
60.0	Thủ Đức	Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh	4	4			4.0			4500.0
40.0	Quận 12	Đường Đông Hưng Thuận 2, Phường Đông Hưng Thuận	2	2	2	4.0	4.0			3200.0
36.5	Bình Thạnh	Đường Điện Biên Phủ								3500.0
120.0	Quận 10	Đường Cao Thắng, Phường 11						Đông-Bắc	Đông-Bắc	7000.0
40.0	Bình Tân	363/38, Đường Đất Mới								3980.0
48.0	Bình Tân	Đường Đất Mới								4350.0
50.0	Thủ Đức	Đường 22	2							3600.0
40.0	Phú Nhuận	Đường Cầm Bá Thước, Phường 7	2	2	2	6.0	3.0			3850.0
65.0	Tân Phú	Đường Tân Kỳ Tân Quý, Phường Tân Quý								5300.0
45.0	Quận 8	Đường An Dương Vương, Phường 16	3			3.8				4600.0
43.0	Nhà Bè	Đường Phạm Hữu Lầu, Xã Phước Kiển								3000.0
40.0	Hóc Môn	Đường Nguyễn Văn Bứa, Xã Xuân Thới Sơn	1	2	2	6.0	8.0			420.0
83.0	Gò Vấp	Đường Lê Lợi								5500.0
450.0	Cần Giờ	Đường Nguyễn Văn Mạnh, Xã Long Hòa				10.0	4.0	Đông-Nam		4500.0
45.5	Bình Thạnh	81, Đường Huỳnh Mẫn Đạt, Phường 19	2			3.0	3.0			4900.0
45.0	Bình Thạnh	Đường Phan Văn Trị								4700.0
90.0	Quận 1	Đường Nguyễn Thị Minh Khai, Phường Bến Nghé								25000.0
47.0	Phú Nhuận	Đường Phan Xích Long, Phường 3	3	4			2.5			5800.0
74.0	Gò Vấp	Hẻm 226, Đường Nguyễn Văn Lượng, Phường 16								3800.0
119.0	Phú Nhuận	Đường Phùng Văn Cung, Phường 4	4	2	3	3.5	3.0			3200.0
40.0	Gò Vấp	745/84/7, Đường Quang Trung, Phường 12								3300.0
60.0	Bình Thạnh	Đường Lê Quang Định								5800.0
59.4	Bình Thạnh	Đường Lê Quang Định, Phường 7								5800.0
80.0	Gò Vấp	Đường Phạm Văn Bạch, Phường 12				4.0	6.0	Tây-Nam	Tây-Nam	6250.0
72.0	Quận 1	Đường Ký Con, Phường Nguyễn Thái Bình								44000.0
38.0	Quận 7	Đường Phạm Hữu Lầu, Phường Phú Mỹ	2	2						3300.0
